Date;Tipe;Vaule
2024-05-12;Deposit;5,00
2024-05-12;Deposit;15,77
2024-05-12;Withdrawal;50,00
2024-05-20;Deposit;20,00
2024-05-20;Withdrawal;20,00
2024-05-24;Deposit;10,00
2024-05-24;Deposit;11,00
2024-05-24;Withdrawal;10,00
2024-05-26;Deposit;14,00
2024-05-28;Deposit;12,00
2024-05-29;Withdrawal;12,00
2024-05-29;Withdrawal;20,00
2024-06-01;Deposit;12,00
2024-06-04;Deposit;10,00
2024-06-10;Deposit;20,00
2024-06-10;Withdrawal;20,00
2024-06-12;Deposit;12,00
2024-06-12;Deposit;10,00
2024-06-12;Deposit;10,00
2024-06-12;Deposit;11,00
2024-06-12;Withdrawal;10,00
2024-06-15;Withdrawal;20,00
2024-07-08;Deposit;20,00
2024-07-13;Withdrawal;20,00
2024-07-16;Deposit;20,00
2024-07-16;Withdrawal;15,00
2024-07-17;Deposit;5,00
2024-07-19;Deposit;2,06
2024-07-29;Deposit;20,00
2024-08-03;Deposit;2,00
2024-08-03;Deposit;7,00
2024-08-04;Deposit;2,00
2024-08-30;Deposit;20,00
2024-09-06;Deposit;2,00
2024-09-10;Deposit;20,00
2024-09-10;Withdrawal;18,00
2024-09-14;Deposit;2,00
2024-09-29;Deposit;20,00
2024-09-29;Withdrawal;11,00
2024-10-04;Deposit;5,00
2024-10-05;Deposit;5,00
2024-10-06;Deposit;1,00
2024-10-12;Deposit;1,00
2024-11-24;Deposit;20,00
2024-11-26;Withdrawal;11,00
2024-11-27;Withdrawal;20,00
2024-12-01;Deposit;20,00
2024-12-01;Withdrawal;10,00
2024-12-02;Withdrawal;22,76
2024-12-04;Deposit;27,76
2024-12-04;Withdrawal;5,00
2024-12-23;Deposit;1,00
2024-12-26;Deposit;1,00
2024-12-27;Deposit;5,00
2024-12-28;Deposit;1,00
2024-12-28;Deposit;1,00
2024-12-28;Withdrawal;7,00
2024-12-30;Deposit;20,00
2025-01-01;Withdrawal;16,03
2025-01-02;Deposit;1,00
2025-01-03;Deposit;2,00
2025-01-03;Withdrawal;2,44
2025-01-09;Deposit;1,00
2025-01-10;Deposit;2,00
2025-01-14;Deposit;9,67
2025-01-14;Withdrawal;21,00
2025-01-21;Deposit;10,00
2025-01-21;Withdrawal;3,00
2025-01-29;Deposit;5,00
